,1,2,3,4,5,6,7,8,9,10,11,12,13
1,"""01""","""01""","""01""","""01""","""0102030405""","""01""","""01""","""0102030405""","""01""","""01""","""0102030405""","""0102030405""","""01020304050607080910111213"""
2,"""01""","""01""","""01""","""02""","""030405""","""01""","""02""","""030405""","""01""","""02""","""030405""","""060708""","""0910111213"""
3,"""01""","""01""","""010203""","""03""","""030405""","""010203""","""03""","""030405""","""0102030609""","""030609""","""030405060708091011""","""091011""","""0910111213"""
4,"""01""","""01""","""010203""","""04""","""05""","""010203""","""04""","""05""","""0102030609""","""040710""","""050811""","""12""","""13"""
5,"""01""","""01""","""0102030405""","""05""","""05""","""0102030405""","""05""","""05""","""01020304050607080910111213""","""0508111213""","""0508111213""","""13""","""13"""
6,"""01""","""02""","""03""","""03""","""030405""","""06""","""06""","""060708""","""09""","""09""","""091011""","""091011""","""0910111213"""
7,"""01""","""02""","""03""","""04""","""05""","""06""","""07""","""08""","""09""","""10""","""11""","""12""","""13"""
8,"""01""","""02""","""030405""","""05""","""05""","""060708""","""08""","""08""","""0910111213""","""111213""","""111213""","""13""","""13"""
9,"""0102030609""","""030609""","""030609""","""030609""","""030405060708091011""","""09""","""09""","""091011""","""09""","""09""","""091011""","""091011""","""0910111213"""
10,"""0102030609""","""030609""","""030609""","""040710""","""050811""","""09""","""10""","""11""","""09""","""10""","""11""","""12""","""13"""
11,"""0102030609""","""030609""","""030405060708091011""","""050811""","""050811""","""091011""","""11""","""11""","""0910111213""","""111213""","""111213""","""13""","""13"""
12,"""0102030609""","""040710""","""050811""","""050811""","""050811""","""12""","""12""","""12""","""13""","""13""","""13""","""13""","""13"""
13,"""01020304050607080910111213""","""0508111213""","""0508111213""","""0508111213""","""0508111213""","""13""","""13""","""13""","""13""","""13""","""13""","""13""","""13"""
